"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
170,0,0,0,0,0,0,0,20230422,20240420
171,0,0,0,0,0,0,0,20230422,20240420
172,0,0,0,0,0,0,0,20230422,20240420
173,0,0,0,0,0,0,0,20230422,20240420
174,0,0,0,0,0,0,0,20230422,20240420
175,0,0,0,0,0,0,0,20230422,20240420
176,0,0,0,0,0,0,0,20230422,20240420
177,0,0,0,0,0,0,0,20230422,20240420
178,0,0,0,0,0,0,0,20230422,20240420
179,0,0,0,0,0,0,0,20230422,20240420
180,0,0,0,0,0,0,0,20230422,20240420
181,0,0,0,0,0,0,0,20230422,20240420
182,0,0,0,0,0,0,1,20230422,20240420
183,0,0,0,0,0,0,0,20230422,20240420
184,0,0,0,0,0,0,0,20230422,20240420
185,0,0,0,0,0,0,0,20230422,20240420
186,0,0,0,0,0,0,0,20230422,20240420
187,0,0,0,0,0,0,0,20230422,20240420
188,0,0,0,0,0,0,0,20230422,20240420
189,0,0,0,0,0,0,0,20230422,20240420
190,0,0,0,0,0,0,0,20230422,20240420
191,0,0,0,0,0,1,1,20230422,20240420
192,0,0,0,0,0,0,0,20230422,20240420
193,0,0,0,0,0,0,0,20230422,20240420
194,0,0,0,0,0,0,0,20230422,20240420
195,0,0,0,0,0,0,0,20230422,20240420
196,1,0,1,1,1,0,0,20230422,20240420
197,0,0,0,0,0,0,0,20230422,20240420
198,0,0,0,0,0,0,0,20230422,20240420
199,0,0,0,0,0,0,0,20230422,20240420
200,0,0,0,0,0,0,0,20230422,20240420
201,0,0,0,0,0,0,0,20230422,20240420
202,0,0,0,0,0,0,0,20230422,20240420
203,0,0,0,0,0,0,0,20230422,20240420
204,0,0,0,0,0,0,0,20230422,20240420
205,1,1,1,1,1,1,1,20230422,20240420
206,0,0,0,0,0,0,0,20230422,20240420
207,1,1,1,1,1,0,1,20230422,20240420
208,0,0,0,0,0,0,0,20230422,20240420
209,0,0,0,0,0,0,0,20230422,20240420
210,0,0,0,0,0,0,0,20230422,20240420
211,1,1,1,1,1,1,1,20230422,20240420
212,0,0,0,0,0,0,0,20230422,20240420
213,0,0,0,0,0,1,1,20230422,20240420
214,0,0,0,0,0,1,1,20230422,20240420
215,0,0,0,0,0,0,0,20230422,20240420
216,1,1,1,1,1,0,1,20230422,20240420
217,1,1,1,1,1,0,0,20230422,20240420
218,1,1,1,1,1,1,1,20230422,20240420
219,1,1,1,1,1,1,1,20230422,20240420
220,0,0,0,0,0,1,1,20230422,20240420
221,1,1,1,1,1,1,1,20230422,20240420
222,0,0,0,0,0,0,0,20230422,20240420
223,0,0,0,0,0,0,0,20230422,20240420
224,1,1,1,1,1,1,1,20230422,20240420
225,1,1,1,1,1,1,1,20230422,20240420
226,0,0,0,0,0,0,0,20230422,20240420
227,1,1,1,1,1,0,0,20230422,20240420
228,0,0,0,0,0,1,1,20230422,20240420
229,0,0,0,0,0,0,0,20230422,20240420
230,0,0,0,0,0,0,0,20230422,20240420
231,0,0,0,0,0,0,0,20230422,20240420
232,0,0,0,0,0,0,0,20230422,20240420
233,0,0,0,0,0,0,0,20230422,20240420
234,0,0,0,0,0,1,1,20230422,20240420
235,0,0,0,0,0,0,0,20230422,20240420
236,0,0,0,0,0,0,1,20230422,20240420
237,1,1,1,1,1,1,1,20230422,20240420
238,0,0,0,0,0,0,0,20230422,20240420
239,1,1,1,1,1,1,1,20230422,20240420
240,1,1,1,1,1,1,1,20230422,20240420
241,1,1,1,1,1,1,1,20230422,20240420
242,0,0,0,0,0,0,0,20230422,20240420
243,0,0,0,0,0,0,0,20230422,20240420
244,0,0,0,0,0,0,0,20230422,20240420
245,0,0,0,0,0,0,0,20230422,20240420
246,1,1,1,1,1,1,1,20230422,20240420
247,1,1,1,1,1,1,1,20230422,20240420
